209.95.167.218 - - [15/Dec/2016:07:18:24 +0100] "GET / HTTP/1.1" 301 581 "-" "=Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.204 Safari/534.16"
89.234.157.254 - - [15/Dec/2016:08:42:02 +0100] "GET / HTTP/1.1" 301 565 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
151.80.31.180 - - [15/Dec/2016:10:30:52 +0100] "GET /robots.txt HTTP/1.1" 301 545 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.1; +http://ahrefs.com/robot/)"
163.172.66.120 - - [15/Dec/2016:10:30:52 +0100] "GET / HTTP/1.1" 301 525 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.1; +http://ahrefs.com/robot/)"
54.210.13.22 - - [15/Dec/2016:11:06:22 +0100] "GET /robots.txt HTTP/1.1" 301 580 "-" "-"
54.210.13.22 - - [15/Dec/2016:11:06:23 +0100] "GET / HTTP/1.1" 301 560 "-" "CheckMarkNetwork/1.0 (+http://www.checkmarknetwork.com/spider.html)"
54.210.13.22 - - [15/Dec/2016:11:06:25 +0100] "GET /core/themes/stable/css/system/components/ajax-progress.module.css?oh31p8 HTTP/1.1" 301 704 "-" "roboto"
54.210.13.22 - - [15/Dec/2016:11:06:25 +0100] "GET /core/themes/stable/css/system/components/align.module.css?oh31p8 HTTP/1.1" 301 688 "-" "roboto"
54.210.13.22 - - [15/Dec/2016:11:06:26 +0100] "GET /core/themes/stable/css/system/components/autocomplete-loading.module.css?oh31p8 HTTP/1.1" 301 718 "-" "roboto"
54.210.13.22 - - [15/Dec/2016:11:06:26 +0100] "GET /core/themes/stable/css/system/components/fieldgroup.module.css?oh31p8 HTTP/1.1" 301 698 "-" "roboto"
54.210.13.22 - - [15/Dec/2016:11:06:26 +0100] "GET /core/themes/stable/css/system/components/container-inline.module.css?oh31p8 HTTP/1.1" 301 710 "-" "roboto"
54.210.13.22 - - [15/Dec/2016:11:06:27 +0100] "GET /core/themes/stable/css/system/components/clearfix.module.css?oh31p8 HTTP/1.1" 301 694 "-" "roboto"
54.210.13.22 - - [15/Dec/2016:11:06:27 +0100] "GET /core/themes/stable/css/system/components/details.module.css?oh31p8 HTTP/1.1" 301 692 "-" "roboto"
54.210.13.22 - - [15/Dec/2016:11:06:27 +0100] "GET /core/themes/stable/css/system/components/hidden.module.css?oh31p8 HTTP/1.1" 301 690 "-" "roboto"
54.210.13.22 - - [15/Dec/2016:11:06:28 +0100] "GET /core/themes/stable/css/system/components/item-list.module.css?oh31p8 HTTP/1.1" 301 696 "-" "roboto"
54.210.13.22 - - [15/Dec/2016:11:06:28 +0100] "GET /core/themes/stable/css/system/components/js.module.css?oh31p8 HTTP/1.1" 301 682 "-" "roboto"
54.210.13.22 - - [15/Dec/2016:11:06:29 +0100] "GET /core/themes/stable/css/system/components/nowrap.module.css?oh31p8 HTTP/1.1" 301 690 "-" "roboto"
54.210.13.22 - - [15/Dec/2016:11:06:29 +0100] "GET /core/themes/stable/css/system/components/position-container.module.css?oh31p8 HTTP/1.1" 301 714 "-" "roboto"
54.210.13.22 - - [15/Dec/2016:11:06:29 +0100] "GET /core/themes/stable/css/system/components/progress.module.css?oh31p8 HTTP/1.1" 301 694 "-" "roboto"
54.210.13.22 - - [15/Dec/2016:11:06:30 +0100] "GET /core/themes/stable/css/system/components/reset-appearance.module.css?oh31p8 HTTP/1.1" 301 710 "-" "roboto"
54.210.13.22 - - [15/Dec/2016:11:06:30 +0100] "GET /core/themes/stable/css/system/components/resize.module.css?oh31p8 HTTP/1.1" 301 690 "-" "roboto"
54.210.13.22 - - [15/Dec/2016:11:06:30 +0100] "GET /core/themes/stable/css/system/components/sticky-header.module.css?oh31p8 HTTP/1.1" 301 704 "-" "roboto"
54.210.13.22 - - [15/Dec/2016:11:06:31 +0100] "GET /core/themes/stable/css/system/components/tabledrag.module.css?oh31p8 HTTP/1.1" 301 696 "-" "roboto"
54.210.13.22 - - [15/Dec/2016:11:06:31 +0100] "GET /core/themes/stable/css/system/components/tablesort.module.css?oh31p8 HTTP/1.1" 301 696 "-" "roboto"
54.210.13.22 - - [15/Dec/2016:11:06:31 +0100] "GET /core/themes/stable/css/system/components/tree-child.module.css?oh31p8 HTTP/1.1" 301 698 "-" "roboto"
54.210.13.22 - - [15/Dec/2016:11:06:32 +0100] "GET /themes/custom/capfi/css/main.css HTTP/1.1" 301 624 "-" "roboto"
54.209.117.121 - - [15/Dec/2016:11:10:07 +0100] "GET /robots.txt HTTP/1.1" 301 581 "-" "-"
54.209.117.121 - - [15/Dec/2016:11:10:08 +0100] "GET / HTTP/1.1" 301 561 "-" "CheckMarkNetwork/1.0 (+http://www.checkmarknetwork.com/spider.html)"
54.209.117.121 - - [15/Dec/2016:11:10:10 +0100] "GET /core/themes/stable/css/system/components/ajax-progress.module.css?oh31p8 HTTP/1.1" 301 705 "-" "roboto"
54.209.117.121 - - [15/Dec/2016:11:10:10 +0100] "GET /core/themes/stable/css/system/components/align.module.css?oh31p8 HTTP/1.1" 301 689 "-" "roboto"
54.209.117.121 - - [15/Dec/2016:11:10:10 +0100] "GET /core/themes/stable/css/system/components/autocomplete-loading.module.css?oh31p8 HTTP/1.1" 301 719 "-" "roboto"
54.209.117.121 - - [15/Dec/2016:11:10:11 +0100] "GET /core/themes/stable/css/system/components/fieldgroup.module.css?oh31p8 HTTP/1.1" 301 699 "-" "roboto"
54.209.117.121 - - [15/Dec/2016:11:10:11 +0100] "GET /core/themes/stable/css/system/components/container-inline.module.css?oh31p8 HTTP/1.1" 301 711 "-" "roboto"
54.209.117.121 - - [15/Dec/2016:11:10:12 +0100] "GET /core/themes/stable/css/system/components/clearfix.module.css?oh31p8 HTTP/1.1" 301 695 "-" "roboto"
